site_code,year,night_n,visit,date,night,prcp,tmax,tmin,tavg,J_date
C100-S1,2015,1,1,NA,NA,NA,NA,NA,NA,NA
C100-S1,2015,2,2,NA,NA,NA,NA,NA,NA,NA
C100-S1,2015,3,3,NA,NA,NA,NA,NA,NA,NA
C100-S1,2015,4,4,NA,NA,NA,NA,NA,NA,NA
C100-S1,2016,1,5,2016-07-27,night1,0.3,30,18.3,24.15,209
C100-S1,2016,2,6,2016-07-28,night2,3.8,30.6,18.3,24.450000000000003,210
C100-S1,2016,3,7,2016-07-29,night3,3.8,28.3,18.3,23.3,211
C100-S1,2016,4,8,2016-07-30,night4,1,27.2,16.1,21.65,212
C100-S1,2017,1,9,2017-07-25,night1,0,27.8,16.1,21.950000000000003,206
C100-S1,2017,2,10,2017-07-26,night2,0,27.2,15.6,21.4,207
C100-S1,2017,3,11,2017-07-27,night3,0,28.9,16.7,22.799999999999997,208
C100-S1,2017,4,12,2017-07-28,night4,4.8,25,17.2,21.1,209
C100-S1,2018,1,13,2018-07-23,night1,2.3,22.2,13.3,17.75,204
C100-S1,2018,2,14,2018-07-24,night2,3.8,24.4,13.9,19.15,205
C100-S1,2018,3,15,2018-07-25,night3,1.3,24.4,13.9,19.15,206
C100-S1,2018,4,16,2018-07-26,night4,0.3,23.9,13.3,18.6,207
C100-S1,2019,1,17,2019-07-30,night1,1.3,26.7,13.9,20.3,211
C100-S1,2019,2,18,2019-07-31,night2,1,25,15,20,212
C100-S1,2019,3,19,2019-08-01,night3,0.3,25,13.3,19.15,213
C100-S1,2019,4,20,2019-08-02,night4,16.5,26.1,14.4,20.25,214
C100-S1,2020,1,21,2020-07-20,night1,19.1,29.4,16.7,23.049999999999997,202
C100-S1,2020,2,22,2020-07-21,night2,1.3,28.3,16.7,22.5,203
C100-S1,2020,3,23,2020-07-22,night3,0,28.3,17.2,22.75,204
C100-S1,2020,4,24,2020-07-23,night4,0,28.9,18.3,23.6,205
C100-S1,2021,1,25,NA,NA,NA,NA,NA,NA,NA
C100-S1,2021,2,26,NA,NA,NA,NA,NA,NA,NA
C100-S1,2021,3,27,NA,NA,NA,NA,NA,NA,NA
C100-S1,2021,4,28,NA,NA,NA,NA,NA,NA,NA
C100-S2,2015,1,1,NA,NA,NA,NA,NA,NA,NA
C100-S2,2015,2,2,NA,NA,NA,NA,NA,NA,NA
C100-S2,2015,3,3,NA,NA,NA,NA,NA,NA,NA
C100-S2,2015,4,4,NA,NA,NA,NA,NA,NA,NA
C100-S2,2016,1,5,2016-07-27,night1,0.3,30,18.3,24.15,209
C100-S2,2016,2,6,2016-07-28,night2,3.8,30.6,18.3,24.450000000000003,210
C100-S2,2016,3,7,2016-07-29,night3,3.8,28.3,18.3,23.3,211
C100-S2,2016,4,8,2016-07-30,night4,1,27.2,16.1,21.65,212
C100-S2,2017,1,9,2017-07-25,night1,0,27.8,16.1,21.950000000000003,206
C100-S2,2017,2,10,2017-07-26,night2,0,27.2,15.6,21.4,207
C100-S2,2017,3,11,2017-07-27,night3,0,28.9,16.7,22.799999999999997,208
C100-S2,2017,4,12,2017-07-28,night4,4.8,25,17.2,21.1,209
C100-S2,2018,1,13,2018-07-23,night1,2.3,22.2,13.3,17.75,204
C100-S2,2018,2,14,2018-07-24,night2,3.8,24.4,13.9,19.15,205
C100-S2,2018,3,15,2018-07-25,night3,1.3,24.4,13.9,19.15,206
C100-S2,2018,4,16,2018-07-26,night4,0.3,23.9,13.3,18.6,207
C100-S2,2019,1,17,2019-07-30,night1,1.3,26.7,13.9,20.3,211
C100-S2,2019,2,18,2019-07-31,night2,1,25,15,20,212
C100-S2,2019,3,19,2019-08-01,night3,0.3,25,13.3,19.15,213
C100-S2,2019,4,20,2019-08-02,night4,16.5,26.1,14.4,20.25,214
C100-S2,2020,1,21,2020-07-20,night1,19.1,29.4,16.7,23.049999999999997,202
C100-S2,2020,2,22,2020-07-21,night2,1.3,28.3,16.7,22.5,203
C100-S2,2020,3,23,2020-07-22,night3,0,28.3,17.2,22.75,204
C100-S2,2020,4,24,2020-07-23,night4,0,28.9,18.3,23.6,205
C100-S2,2021,1,25,NA,NA,NA,NA,NA,NA,NA
C100-S2,2021,2,26,NA,NA,NA,NA,NA,NA,NA
C100-S2,2021,3,27,NA,NA,NA,NA,NA,NA,NA
C100-S2,2021,4,28,NA,NA,NA,NA,NA,NA,NA
C100-S3,2015,1,1,NA,NA,NA,NA,NA,NA,NA
C100-S3,2015,2,2,NA,NA,NA,NA,NA,NA,NA
C100-S3,2015,3,3,NA,NA,NA,NA,NA,NA,NA
C100-S3,2015,4,4,NA,NA,NA,NA,NA,NA,NA
C100-S3,2016,1,5,2016-07-27,night1,0.3,30,18.3,24.15,209
C100-S3,2016,2,6,2016-07-28,night2,3.8,30.6,18.3,24.450000000000003,210
C100-S3,2016,3,7,2016-07-29,night3,3.8,28.3,18.3,23.3,211
C100-S3,2016,4,8,2016-07-30,night4,1,27.2,16.1,21.65,212
C100-S3,2017,1,9,2017-07-25,night1,0,27.8,16.1,21.950000000000003,206
C100-S3,2017,2,10,2017-07-26,night2,0,27.2,15.6,21.4,207
C100-S3,2017,3,11,2017-07-27,night3,0,28.9,16.7,22.799999999999997,208
C100-S3,2017,4,12,2017-07-28,night4,4.8,25,17.2,21.1,209
C100-S3,2018,1,13,2018-07-23,night1,2.3,22.2,13.3,17.75,204
C100-S3,2018,2,14,2018-07-24,night2,3.8,24.4,13.9,19.15,205
C100-S3,2018,3,15,2018-07-25,night3,1.3,24.4,13.9,19.15,206
C100-S3,2018,4,16,2018-07-26,night4,0.3,23.9,13.3,18.6,207
C100-S3,2019,1,17,2019-07-30,night1,1.3,26.7,13.9,20.3,211
