site_code,Longitude,Latitude,year,cc_250m
C100-S1,-82.12579,36.10114,cc_250m_2015,64
C100-S2,-82.10770533,36.10574939,cc_250m_2015,40
C100-S3,-82.09012798,36.09956196,cc_250m_2015,69
C105-S1,-75.69365,35.91435,cc_250m_2015,28
C105-S2,-75.71315,35.93846667,cc_250m_2015,55
C108-S1,-78.00381213,36.20097645,cc_250m_2015,58
C108-S2,-78.04578091,36.18453409,cc_250m_2015,55
C108-S3,-77.97874698,36.20389477,cc_250m_2015,55
C108-S4,-77.98236234,36.19726452,cc_250m_2015,59
C108-S6,-78.06235864,36.23149009,cc_250m_2015,56
C108-S7,-78.04578091,36.18453409,cc_250m_2015,55
C10-S1,-78.98866145,35.54352486,cc_250m_2015,53
C10-S2,-78.99189108,35.55288292,cc_250m_2015,50
C10-S3,-78.98733049,35.54013798,cc_250m_2015,51
C12-S2,-78.50178628,35.82474827,cc_250m_2015,22
C12-S3,-78.41303366,35.81712526,cc_250m_2015,40
C12-S4,-78.41134907,35.8177529,cc_250m_2015,36
C12-S5,-78.4322444,35.7615219,cc_250m_2015,41
C12-S6,-78.42391,35.73882,cc_250m_2015,46
C13-S1,-78.90894796,34.514936,cc_250m_2015,49
C13-S2,-78.87915088,34.48014675,cc_250m_2015,71
C13-S3,-78.8796517,34.48092828,cc_250m_2015,71
C13-S4,-79.000136,34.3934,cc_250m_2015,36
C14-S1,-76.48970875,36.19902422,cc_250m_2015,6
C14-S2,-76.55103746,36.25843816,cc_250m_2015,15
C14-S3,-76.44094401,36.19911633,cc_250m_2015,18
C18-S1,-77.08723526,35.56746642,cc_250m_2015,32
C18-S2,-77.03584389,35.53384041,cc_250m_2015,35
C18-S3,-77.03855921,35.51785712,cc_250m_2015,25
C18-S4,-77.09190315,35.45004551,cc_250m_2015,45
C19-S1,-77.81732719,34.21633372,cc_250m_2015,28
C19-S2,-77.96103618,34.2559471,cc_250m_2015,28
C19-S3,-77.99355394,34.30097208,cc_250m_2015,26
C19-S4,-77.94518868,34.20880149,cc_250m_2015,19
C19-S5,-78.06238,34.13972,cc_250m_2015,50
C19-S6,-78.06538,34.15923,cc_250m_2015,70
C1-S1,-79.06100549,36.46989799,cc_250m_2015,42
C1-S2,-79.05947537,36.46020172,cc_250m_2015,51
C1-S3,-79.06121881,36.46366932,cc_250m_2015,53
C1-S4,-79.06154294,36.46038646,cc_250m_2015,51
C1-S5,-79.05746975,36.45351606,cc_250m_2015,37
C200-S1,-79.95218108,35.71283578,cc_250m_2015,63
C200-S2,-79.95059213,35.71500854,cc_250m_2015,54
C200-S3,-79.76456224,35.62668365,cc_250m_2015,54
C200-S4,-79.75524223,35.62597395,cc_250m_2015,54
C200-S5,-79.83569576,35.7154532,cc_250m_2015,38
C201-S1,-76.697845,36.432268,cc_250m_2015,56
C201-S2,-76.692643,36.437062,cc_250m_2015,57
C202-S1,-81.8486964,36.1937618,cc_250m_2015,55
C202-S2,-81.870577,36.142199,cc_250m_2015,45
C203-S1,-80.485603,35.838485,cc_250m_2015,46
C203-S2,-80.44841,35.83875,cc_250m_2015,54
C204-S1,-78.976964,35.573754,cc_250m_2015,38
C204-S2,-78.98015,35.576124,cc_250m_2015,45
C205-S1,-81.738823,36.135661,cc_250m_2015,61
C205-S2,-81.811973,36.163409,cc_250m_2015,73
C206-S1,-81.33562,36.45597,cc_250m_2015,62
C206-S2,-81.465992,36.392943,cc_250m_2015,76
C207-S1,-76.89657,35.46465,cc_250m_2015,46
C207-S2,-76.91015,35.47084,cc_250m_2015,48
C208-S1,-82.53721,35.24017,cc_250m_2015,67
C208-S2,-82.52929,35.24444,cc_250m_2015,26
C209-S1,-79.09277,35.69675,cc_250m_2015,57
C209-S2,-79.09505,35.71507,cc_250m_2015,54
C20-S1,-79.85221583,35.36388609,cc_250m_2015,54
C20-S2,-79.78760317,35.36019788,cc_250m_2015,25
C20-S3,-79.90247388,35.2898971,cc_250m_2015,49
C20-S4,-79.81928,35.28214,cc_250m_2015,53
C21-S1,-80.91127398,35.68276243,cc_250m_2015,49
C21-S2,-80.92546094,35.65620228,cc_250m_2015,48
C21-S3,-80.92528,35.66556,cc_250m_2015,50
C22-S1,-76.98514813,35.11597462,cc_250m_2015,47
C22-S2,-76.97235625,35.12296479,cc_250m_2015,65
