cell,site,date,night,CORRAF,CORTOW,EPTFUS,LASBOR,LASCIN,LASINT,LASNOC,MYOAUS,MYOGRI,MYOLEI,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,TADBRA
cell-100,C100-S1,20200720,night1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
cell-100,C100-S1,20200721,night2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cell-100,C100-S1,20200722,night3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
cell-100,C100-S1,20200723,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell-100,C100-S1,20190730,night1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0
Cell-100,C100-S1,20190731,night2,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
Cell-100,C100-S1,20190801,night3,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0
Cell-100,C100-S1,20190802,night4 ,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
cell-100,C100-S1,20180723,night1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cell-100,C100-S1,20180724,night2,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0
cell-100,C100-S1,20180725,night3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cell-100,C100-S1,20180726,night4 ,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
cell-100,C100-S1,20160727,night1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1
cell-100,C100-S1,20160728,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S1,20160729,night3,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1
cell-100,C100-S1,20160730,night4,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1
cell-100,C100-S1,20170725,night1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
cell-100,C100-S1,20170726,night2,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0
cell-100,C100-S1,20170727,night3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1
cell-100,C100-S1,20170728,night4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20200720,night1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20200721,night2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20200722,night3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20200723,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell-100,C100-S2,20190730,night1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cell-100,C100-S2,20190731,night2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Cell-100,C100-S2,20190801,night3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Cell-100,C100-S2,20190802,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20180723,night1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20180724,night2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
cell-100,C100-S2,20180725,night3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20180726,night4 ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
cell-100,C100-S2,20160727,night1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
cell-100,C100-S2,20160728,night2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S2,20160729,night3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
cell-100,C100-S2,20160730,night4,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
cell-100,C100-S2,20170725,night1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1
cell-100,C100-S2,20170726,night2,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
cell-100,C100-S2,20170727,night3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
cell-100,C100-S2,20170728,night4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cell-100,C100-S3,20190730,night1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
Cell-100,C100-S3,20190731,night2,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Cell-100,C100-S3,20190801,night3,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Cell-100,C100-S3,20190802,night4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20180723,night1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20180724,night2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20180725,night3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20180726,night4 ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cell-100,C100-S3,20160727,night1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
cell-100,C100-S3,20160728,night2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cell-100,C100-S3,20160729,night3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20160730,night4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-100,C100-S3,20170725,night1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
cell-100,C100-S3,20170726,night2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cell-100,C100-S3,20170727,night3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cell-100,C100-S3,20170728,night4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-105,C105-S1,20160720,night1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
cell-105,C105-S1,20160721,night2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-105,C105-S1,20160722,night3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-105,C105-S1,20160723,night4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
