psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),p(j_date),df,logLik,QAIC,delta,weight
2.473900124396891,-0.7566642466853873,-2.090371545706173,0.3360164253918686,NA,NA,1.3143660894625961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22931050196978314,NA,+,0.3024142318597137,9,-1174.1438392155294,919.7270798586433,0,0.0245202040434385
2.4637010418741614,-0.7604115986634953,-2.0935927711590447,0.340018608850653,NA,NA,1.3666693558388459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22026079910098745,NA,NA,+,0.30256926078041235,9,-1174.1904167449213,919.762771452047,0.035691593403726074,0.024086502848762
2.3556449086843974,-0.7651565517859132,-2.093055086224835,0.33558065571224033,NA,NA,NA,1.1223940479448662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17689581025486684,NA,+,0.30115881182122517,9,-1174.5674740310178,920.0517042383278,0.3246243796845647,0.0208464827861202
2.3454374047081643,-0.7664057272972868,-2.0946905063356445,0.3373788338439131,NA,NA,NA,1.1486147756287992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1492690177333317,NA,NA,+,0.30126981106124984,9,-1174.6380447185682,920.1057813935389,0.3787015348956402,0.0202903755969091
2.2870324090538663,-0.7397115275540473,-2.0922056880886992,0.3376853639713405,NA,NA,NA,NA,NA,NA,1.302526851031027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17514915564666375,NA,+,0.30342966929126675,9,-1175.8286149484816,921.0180957459629,1.2910158873196451,0.0128582996355818
3.229917260597174,-0.75289756842761,-2.080636936492764,0.31829384686271284,NA,NA,1.0874677709979497,NA,NA,NA,NA,NA,NA,1.853358718720085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17421963846090424,NA,+,0.3002094112718151,10,-1173.2980168199038,921.0789400918803,1.351860233237062,0.0124730125700691
2.2695548184539756,-0.7426781497162028,-2.0948361994152878,0.340223351154521,NA,NA,NA,NA,NA,NA,1.3358828288378057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16038397529678305,NA,NA,+,0.30343228454993587,9,-1175.941083900232,921.1042788507524,1.377198992109129,0.0123159840683666
3.275251312787557,-0.7544165628638276,-2.0816904185183525,0.3188200302428637,NA,NA,1.11279280481787,NA,NA,NA,NA,NA,NA,1.9355832016921177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12650972361179313,NA,NA,+,0.30012664520305515,10,-1173.3548109026137,921.122460461773,1.3953806031297518,0.0122045292272517
3.149692358402186,-0.7543787190705953,-2.0806397043828446,0.31656957805408115,NA,NA,NA,0.8998218668389164,NA,NA,NA,NA,NA,1.993615150142243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12441803557177689,NA,+,0.2987855203614842,10,-1173.4597486935459,921.2028725621042,1.475792703460911,0.0117235668995795
2.4444097794365893,-0.7555888101291783,-2.0906804072269347,0.3509904439940439,NA,NA,1.381612661808776,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4029398857416965,NA,NA,NA,NA,NA,NA,NA,0.22985792359606053,NA,+,0.3029098018528389,10,-1173.4937531099526,921.2289295861707,1.5018497275274285,0.0115718169516905
