psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),df,logLik,QAIC,delta,weight
-0.5650766729380983,-2.0618601402593506,-0.7115132533253349,0.5276771320734197,NA,NA,NA,NA,NA,NA,0.8471696101147864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3240219552917775,+,+,9,-733.9539365333168,992.1244192494262,0,0.139666283848797
-0.5758946467430877,-2.055656139171389,-0.7123389598911015,0.528615322467726,NA,NA,NA,NA,NA,NA,NA,0.9117504024363595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3405321358976306,+,+,9,-734.3578706694934,992.6594313503224,0.5350121008962105,0.106884609841766
-0.44719898525413687,-2.1074418217968387,-0.7388350852041337,0.5265066382147745,NA,NA,NA,NA,NA,NA,0.6561759176947415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07366926925740891,NA,+,+,9,-735.3249697407218,993.9403572724792,1.815938023053036,0.056333358825828
0.11393300884588638,-2.053430395977893,-0.7185012100041421,0.5308617344500871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,0.7487318915039456,+,+,11,-732.5221887679988,994.228064593376,2.103645343949779,0.0487855039407282
-0.44890310249599435,-2.0981704766928932,-0.7375757399395384,0.5273075514394351,NA,NA,NA,NA,NA,NA,NA,0.6524455565328222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.07417026369597139,NA,+,+,9,-735.7886005582172,994.5544378254533,2.4300185760271233,0.0414400001801016
-0.6493218769599388,-2.03584246895044,-0.7029863400897808,0.5277460935675454,NA,NA,NA,NA,0.5519015257981058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2726503004240393,+,+,9,-735.9124094359195,994.7184230939331,2.594003844506915,0.0381777913417159
-0.5172021224697537,-2.0863645802154083,-0.726748219295154,0.5285835115651499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9378406072661721,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47273685558677137,+,+,9,-736.0487961776112,994.8990677849155,2.774648535489291,0.0348806286662329
-0.42970009199246323,-2.125000059065707,-0.7584215037281166,0.5276912815490981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33124437314998806,NA,+,+,8,-737.7189852687334,995.1112387665343,2.9868195171080743,0.0313698152172609
-0.6072960498779384,-2.0284377682430037,-0.7025918758185449,0.5292346078488273,0.48700876695523904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27033742506009734,+,+,9,-736.288930897084,995.2171270160053,3.0927077665791103,0.0297521681111325
-0.5906728707497438,-2.0311878879486054,-0.699460884869436,0.5288834914072666,NA,NA,NA,NA,NA,0.48548685573456074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2643422426236225,+,+,9,-736.5579444367746,995.5734363400989,3.449017090672669,0.0248970007640918
