psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),p(tavg),p(water),df,logLik,QAIC,delta,weight
-2.9736528321889537,0.02629655175650221,-2.2919246847437558,1.0573579544737062,+,NA,NA,NA,NA,NA,NA,NA,15.36980070244643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.932621174647983,0.47562872701875897,+,10,-1123.2873013200933,1029.432557237752,0,0.158764881650416
-2.0454744160210505,0.03324561891271062,-2.291947315241609,1.057312475832437,+,NA,NA,NA,NA,4.556086763831193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24466368175948783,0.47576420147470516,+,10,-1124.8068268442432,1030.7953603984245,1.3628031606724562,0.080320332507767
-0.8570755700278901,0.03647573567647114,-2.2873718035964017,1.0576904425690064,+,4.1787932956169245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5932254761252271,0.4764893781474902,+,10,-1124.8859655650542,1030.8663368296452,1.4337795918931988,0.0775198924433928
-1.0323138427027092,-0.018670880214483265,-2.297880463155197,1.05707743740122,+,NA,NA,NA,8.30432837847073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.613657018502237,0.4760764135211813,+,10,-1124.9080919283683,1030.8861811016757,1.4536238639236672,0.0767545328069399
-5.939762569409862,-0.003024423019127936,-2.3007383294647723,1.0567744542247177,+,NA,14.788376831000903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.489499899561005,0.4758381029979308,+,10,-1124.9414988558212,1030.9161424715885,1.483585233836493,0.0756132671462177
0.7374320734451236,0.05340874929150544,-2.2883210175336566,1.0715351603386494,+,NA,NA,NA,NA,NA,NA,1.5466260403778018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.660999210761665,0.46768555572129544,+,10,-1125.9817439397705,1031.84909770383,2.416540466078004,0.0474252194454172
0.8907620583308739,0.019496718612691092,-2.291441079999167,1.0717862136011809,+,NA,NA,1.4504510247924585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.563767513509125,0.4674718266159073,+,10,-1126.133566027031,1031.98526101079,2.552703773038047,0.0443038902640627
-1.255502398790437,0.016796173106506034,-2.295279940048986,1.0567918686205133,+,NA,NA,NA,NA,NA,5.964769841273288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35424081079829,0.47573011357466993,+,10,-1127.036742519201,1032.7952847705837,3.362727532831741,0.0295493163920325
0.6753313284324333,0.07135816668874825,-2.2771239683180733,1.0734568009107663,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8916322017372051,0.46679961585447183,+,9,-1130.1602241737448,1033.5966136087397,4.164056370987737,0.0197943430149923
3.518118906629853,0.15135349791257316,-2.2201599275254598,1.0744828988239055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.663483429513714,0.4655417985448195,+,7,-1135.0317867465199,1033.9657280237848,4.53317078603277,0.0164584493401311
2.232347304375976,0.12309584548999687,-2.2523993473725237,1.0751929288875814,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605357994894994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3923727057656605,0.4666046825218636,+,10,-1128.468662846897,1034.079518248338,4.646961010585983,0.015548184365795
