site,structure,canopy,water,Latitude,Longitude
C100-S1,corridor,open ,no,36.10114,-82.12579
C100-S2,field,open ,no,36.10574939,-82.10770533
C100-S3,interior,closed,yes,36.09956196,-82.09012798
C105-S1,edge,open ,yes,35.91435,-75.69365
C105-S2,interior,closed,no,35.93846667,-75.71315
C108-S1,corridor,open ,yes,36.20097645,-78.00381213
C108-S2,corridor,open ,no,36.18453409,-78.04578091
C108-S3,corridor,open ,no,36.20389477,-77.97874698
C108-S4,corridor,open ,no,36.19726452,-77.98236234
C108-S6,corridor,open ,yes,36.23149009,-78.06235864
C108-S7,corridor,open,no,36.18453409,-78.04578091
C10-S1,corridor,half ,yes,35.54352486,-78.98866145
C10-S2,corridor,open ,no,35.55288292,-78.99189108
C10-S3,corridor,open ,yes,35.54013798,-78.98733049
C12-S2,field,open ,yes,35.82474827,-78.50178628
C12-S3,corridor,half ,yes,35.81712526,-78.41303366
C12-S4,edge,open ,no,35.8177529,-78.41134907
C12-S5,edge,open ,yes,35.7615219,-78.4322444
C12-S6,edge,half ,yes,35.73882,-78.42391
C13-S1,corridor,open ,no,34.514936,-78.90894796
C13-S2,corridor,open ,yes,34.48014675,-78.87915088
C13-S3,edge,open ,no,34.48092828,-78.8796517
C13-S4,corridor,half ,yes,34.3934,-79.000136
C14-S1,field,open ,no,36.19902422,-76.48970875
C14-S2,edge,open ,no,36.25843816,-76.55103746
C14-S3,edge,open ,no,36.19911633,-76.44094401
C18-S1,corridor,open ,yes,35.56746642,-77.08723526
C18-S2,field,open ,no,35.53384041,-77.03584389
C18-S3,interior,half ,yes,35.51785712,-77.03855921
C18-S4,edge,open ,no,35.45004551,-77.09190315
C19-S1,field,open ,no,34.21633372,-77.81732719
C19-S2,interior,half ,no,34.2559471,-77.96103618
C19-S3,edge,open ,yes,34.30097208,-77.99355394
C19-S4,field,open ,no,34.20880149,-77.94518868
C19-S5,corridor,half ,yes,34.13972,-78.06238
C19-S6,corridor,closed,no,34.15923,-78.06538
C1-S1,corridor,open ,yes,36.46989799,-79.06100549
C1-S2,interior,closed,no,36.46020172,-79.05947537
C1-S3,edge,open ,yes,36.46366932,-79.06121881
C1-S4,corridor,half ,no,36.46038646,-79.06154294
C1-S5,interior,closed,yes,36.45351606,-79.05746975
C200-S1,interior,closed,no,35.71283578,-79.95218108
C200-S2,interior,closed,no,35.71500854,-79.95059213
C200-S3,edge,open,yes,35.62668365,-79.76456224
C200-S4,corridor,open,yes,35.62597395,-79.75524223
C200-S5,edge,open,no,35.7154532,-79.83569576
C201-S1,edge,half ,yes,36.432268,-76.697845
C201-S2,interior,closed,yes,36.437062,-76.692643
C202-S1,field,open,yes,36.179731,-81.84583
C202-S2,field,open,yes,36.142199,-81.870577
C203-S1,field,open,no,35.838485,-80.485603
C203-S2,corridor,half ,no,35.83875,-80.44841
C204-S1,edge,open,yes,35.573754,-78.976964
C204-S2,corridor,open,no,35.576124,-78.98015
C205-S1,field,open,yes,36.135661,-81.738823
C205-S2,edge,open,no,36.163409,-81.811973
C206-S1,corridor,open,yes,36.45597,-81.33562
C206-S2,interior,closed,yes,36.392943,-81.465992
C207-S1,edge,open,yes,35.46465,-76.89657
C207-S2,interior,half ,no,35.47084,-76.91015
C208-S1,corridor,open,no,35.24017,-82.53721
C208-S2,field,open,yes,35.24444,-82.52929
C209-S1,corridor,half ,no,35.69675,-79.09277
C209-S2,edge,open,yes,35.71507,-79.09505
C20-S1,corridor,half ,yes,35.36388609,-79.85221583
C20-S2,edge,open ,no,35.36019788,-79.78760317
C20-S3,interior,half ,no,35.2898971,-79.90247388
C20-S4,field,open,yes,35.28214,-79.81928
C21-S1,edge,open ,no,35.68276243,-80.91127398
C21-S2,edge,open ,yes,35.65620228,-80.92546094
C21-S3,corridor,open,no,35.66556,-80.92528
C22-S1,interior,half ,no,35.11597462,-76.98514813
C22-S2,interior,closed,yes,35.12296479,-76.97235625
C22-S3,corridor,half ,no,35.04910749,-77.06009852
C22-S4,corridor,half ,yes,35.02746139,-77.04637173
C22-S5,edge,open ,yes,35.123366,-76.985954
C22-S6,edge,half ,yes,35.029778,-77.048441
C22-S7,corridor,closed,no,34.96971,-77.04975
C22-S8,corridor,open,yes,35.10834,-76.99017
C24-S1,edge,open ,yes,36.39245817,-80.26836173
C24-S2,corridor,closed,no,36.40004229,-80.30368818
C24-S3,edge,open ,yes,36.15820259,-80.43970828
C24-S4,corridor,closed,yes,36.41941052,-80.32960041
C24-S5,edge,open ,no,36.42220228,-80.33262276
C24-S6,corridor,closed,no,36.429226,-80.248998
C24-S7,corridor,half ,no,36.413975,-80.265446
C29-S1,corridor,half ,no,36.0974788,-77.14768723
C29-S2,corridor,open ,no,36.10186757,-77.14507853
C2-S1,field,open ,yes,35.17778982,-79.29604302
C2-S2,edge,open ,yes,35.19580462,-79.25216158
C2-S3,interior,half ,no,35.14814897,-79.24722833
C34-S1,edge,open ,yes,35.26616466,-80.72238109
C34-S2,edge,open ,no,35.25567739,-80.70774428
C37-S1,interior,half ,no,35.01620038,-79.62646821
C37-S2,edge,open ,yes,35.00916336,-79.62596362
C37-S3,corridor,open ,no,34.99461715,-79.62099197
C37-S4,corridor,open ,no,34.98728793,-79.61918819
C39-S1,corridor,half ,yes,35.74783215,-82.09770078
C39-S2,corridor,half ,no,35.77713596,-82.05662509
C39-S3,corridor,open ,no,35.74533711,-82.06291135
C39-S4,corridor,closed,yes,35.73514061,-82.1646224
C400-S1,corridor,open,yes,36.35939,-76.77136
C400-S2,corridor,open,no,36.39992,-76.84986
C40-S1,edge,open ,yes,36.22271491,-77.36667526
C40-S2,edge,open ,no,36.21849245,-77.29535951
C40-S3,edge,open ,no,36.21523339,-77.3716516
C41-S1,field,open ,yes,35.226718,-78.652772
C41-S2,field,open ,no,35.228405,-78.64752
C42-S1,corridor,open ,yes,35.57641645,-82.47900512
C42-S2,corridor,half ,yes,35.65426019,-82.43980975
C42-S3,field,open ,no,35.64621801,-82.52737206
