site_code,2015,2016,2017,2018,2019,2020,2021
C1-S1,4.613826739426605,4.613826739426605,4.613826739426605,4.613826739426605,4.613826739426605,4.613826739426605,4.595925784617816
C1-S2,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.544037763536119
C1-S3,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.544037763536119
C1-S4,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.544037763536119
C1-S5,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.532282528235417,4.544037763536119
C10-S1,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.595100855824785
C10-S2,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.595100855824785
C10-S3,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.594110941273147,4.595100855824785
C100-S1,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.7378960298985815
C100-S2,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.7378960298985815
C100-S3,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.68382194751535,4.7378960298985815
C105-S1,0,0,0,0,0,0,0
C105-S2,2.075190871750683,2.075190871750683,2.075190871750683,2.075190871750683,2.075190871750683,2.075190871750683,2.0863274104566116
C108-S1,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.865203859750288
C108-S2,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.865203859750288
C108-S3,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.865203859750288
C108-S4,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.865203859750288
C108-S6,4.591924879971613,4.591924879971613,4.591924879971613,4.591924879971613,4.591924879971613,4.591924879971613,4.542470398829359
C108-S7,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.9461706207863547,3.865203859750288
C12-S2,4.4138639999957086,4.4138639999957086,4.4138639999957086,4.4138639999957086,4.4138639999957086,4.4138639999957086,4.389776079239181
C12-S3,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9217939749522666
C12-S4,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9217939749522666
C12-S5,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9217939749522666
C12-S6,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9951301446527894,3.9217939749522666
C13-S1,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7636551253280786
C13-S2,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7636551253280786
C13-S3,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7723993705342154,3.7636551253280786
C13-S4,4.592997287402554,4.592997287402554,4.592997287402554,4.592997287402554,4.592997287402554,4.592997287402554,4.582479445291399
C14-S1,3.479549649007942,3.479549649007942,3.479549649007942,3.479549649007942,3.479549649007942,3.479549649007942,3.3415390619337297
C14-S2,3.381094397559602,3.381094397559602,3.381094397559602,3.381094397559602,3.381094397559602,3.381094397559602,3.21944960056503
C14-S3,3.0921630878002304,3.0921630878002304,3.0921630878002304,3.0921630878002304,3.0921630878002304,3.0921630878002304,2.996966305084366
C18-S1,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.184451302653577
C18-S2,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.184451302653577
C18-S3,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.268841518180725,4.184451302653577
C18-S4,4.315491241426672,4.315491241426672,4.315491241426672,4.315491241426672,4.315491241426672,4.315491241426672,4.263314495267413
C19-S1,3.7816385730161715,3.7816385730161715,3.7816385730161715,3.7816385730161715,3.7816385730161715,3.7816385730161715,3.787990524722516
C19-S2,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.353974169621603
C19-S3,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.355376548569756,4.353974169621603
C19-S4,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.877599108732671
C19-S5,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.877599108732671
C19-S6,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.8740519149226342,2.877599108732671
C2-S1,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.2697702569399674
C2-S2,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.2697702569399674
C2-S3,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.277937051990982,3.2697702569399674
C20-S1,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.900901959401656
C20-S2,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.879453810782831,4.900901959401656
