site_code,2015,2016,2017,2018,2019,2020,2021
C1-S1,151.4599609375,145.634765625,103.5654296875,121.919921875,138.03515625,98.83984375,92.3701171875
C1-S2,151.4599609375,145.634765625,103.5654296875,121.919921875,138.03515625,98.83984375,92.3701171875
C1-S3,151.4599609375,145.634765625,103.5654296875,121.919921875,138.03515625,98.83984375,92.3701171875
C1-S4,151.4599609375,145.634765625,103.5654296875,121.919921875,138.03515625,98.83984375,92.3701171875
C1-S5,142.4599609375,145.59521484375,103.205078125,121.68505859375,141.830078125,95.884765625,94.580078125
C10-S1,119.2197265625,127.4296875,92.21484375,113.42529296875,117.7099609375,132.93505859375,154.60498046875
C10-S2,119.2197265625,127.4296875,92.21484375,113.42529296875,117.7099609375,132.93505859375,154.60498046875
C10-S3,117.18505859375,125.10498046875,94.9150390625,123.64990234375,121.2353515625,134.955078125,156.0400390625
C100-S1,136.21533203125,140.14990234375,119.4697265625,141.21533203125,200.22021484375,119.75,145.22998046875
C100-S2,140.1298828125,132.78466796875,125.75,131.25,225.275390625,134.27001953125,148.35986328125
C100-S3,140.1298828125,132.78466796875,125.75,131.25,225.275390625,134.27001953125,148.35986328125
C105-S1,137.3896484375,125.4453125,122.31494140625,227.740234375,93.2099609375,124.01953125,168.68505859375
C108-S1,90.63525390625,153.68017578125,114.51513671875,118.7998046875,161.39013671875,133.419921875,153.9951171875
C108-S2,92.91015625,154.16455078125,110.884765625,114.9599609375,163.8603515625,135.0849609375,154.52978515625
C108-S3,89.794921875,152.080078125,116.080078125,121.61474609375,157.41015625,131.7197265625,150.21484375
C108-S4,89.794921875,152.080078125,116.080078125,121.61474609375,157.41015625,131.7197265625,150.21484375
C108-S6,93.89013671875,149.71533203125,108.07470703125,113.68994140625,165.84521484375,134.0546875,150.88525390625
C108-S7,92.91015625,154.16455078125,110.884765625,114.9599609375,163.8603515625,135.0849609375,154.52978515625
C12-S2,147.46484375,173.69970703125,107.3203125,94.0849609375,122.0947265625,105.4951171875,160.5546875
C12-S3,138.10498046875,174.18017578125,102.22998046875,99.38525390625,149.19482421875,114.61962890625,172.365234375
C12-S4,138.10498046875,174.18017578125,102.22998046875,99.38525390625,149.19482421875,114.61962890625,172.365234375
C12-S5,141.75537109375,166.580078125,100.9150390625,93.64990234375,140.31005859375,109.77001953125,168.6103515625
C12-S6,140.865234375,165.634765625,100.1103515625,93.2802734375,143.27001953125,111.7998046875,170.3349609375
C13-S1,101.97509765625,148.11474609375,106.94970703125,123.43505859375,90.580078125,161.34033203125,143.9052734375
C13-S2,99.875,156.51025390625,105.08984375,121.48486328125,91.0400390625,161.4853515625,147.27978515625
C13-S3,99.875,156.51025390625,105.08984375,121.48486328125,91.0400390625,161.4853515625,147.27978515625
C13-S4,106.625,148.34521484375,99.634765625,124.7353515625,93.8701171875,160.990234375,149.19482421875
C14-S1,144.7548828125,128.169921875,146.14501953125,215.615234375,140.625,112.419921875,172.240234375
