site_code,2015,2016,2017,2018,2019,2020,2021
C1-S1,25.10009765625,24.73486328125,24.22998046875,24.5751953125,24.43505859375,24.9453125,24.48486328125
C1-S2,25.10009765625,24.73486328125,24.22998046875,24.5751953125,24.43505859375,24.9453125,24.48486328125
C1-S3,25.10009765625,24.73486328125,24.22998046875,24.5751953125,24.43505859375,24.9453125,24.48486328125
C1-S4,25.10009765625,24.73486328125,24.22998046875,24.5751953125,24.43505859375,24.9453125,24.48486328125
C1-S5,24.93505859375,24.6298828125,24.10009765625,24.419921875,24.27978515625,24.7900390625,24.33984375
C10-S1,26.26513671875,26.14501953125,25.73974609375,25.9951171875,25.82470703125,25.5947265625,24.9248046875
C10-S2,26.26513671875,26.14501953125,25.73974609375,25.9951171875,25.82470703125,25.5947265625,24.9248046875
C10-S3,26.22998046875,26.11474609375,25.71484375,25.9599609375,25.77001953125,25.52001953125,24.830078125
C100-S1,16.77001953125,17.14501953125,15.6298828125,16.4599609375,15.9599609375,16.23486328125,15.81494140625
C100-S2,16.02490234375,16.455078125,15.0498046875,15.76513671875,15.2646484375,15.580078125,15.10009765625
C100-S3,16.02490234375,16.455078125,15.0498046875,15.76513671875,15.2646484375,15.580078125,15.10009765625
C105-S1,25.77490234375,26.21484375,24.69970703125,24.955078125,25.830078125,25.9150390625,25.5595703125
C108-S1,25.76513671875,25.2548828125,25.375,25.39013671875,25.25537109375,25.4501953125,24.7099609375
C108-S2,25.68994140625,25.2099609375,25.3251953125,25.3603515625,25.205078125,25.39013671875,24.68017578125
C108-S3,25.8251953125,25.28515625,25.4150390625,25.4052734375,25.3095703125,25.51513671875,24.73974609375
C108-S4,25.8251953125,25.28515625,25.4150390625,25.4052734375,25.3095703125,25.51513671875,24.73974609375
C108-S6,25.7900390625,25.31982421875,25.4697265625,25.47998046875,25.3095703125,25.5146484375,24.7900390625
C108-S7,25.68994140625,25.2099609375,25.3251953125,25.3603515625,25.205078125,25.39013671875,24.68017578125
C12-S2,26.294921875,25.97998046875,25.68505859375,25.955078125,25.6748046875,25.7451171875,24.99462890625
C12-S3,26.13525390625,25.849609375,25.53466796875,25.830078125,25.544921875,25.5849609375,24.78515625
C12-S4,26.13525390625,25.849609375,25.53466796875,25.830078125,25.544921875,25.5849609375,24.78515625
C12-S5,26.2548828125,26.01513671875,25.67529296875,25.97021484375,25.669921875,25.69482421875,24.8896484375
C12-S6,26.35009765625,26.1748046875,25.78955078125,26.0947265625,25.7802734375,25.76513671875,24.94482421875
C13-S1,27.46484375,27.28515625,26,26.5849609375,26.34033203125,26.009765625,25.65478515625
C13-S2,27.4599609375,27.28466796875,25.97998046875,26.58984375,26.294921875,26.0146484375,25.66015625
C13-S3,27.4599609375,27.28466796875,25.97998046875,26.58984375,26.294921875,26.0146484375,25.66015625
C13-S4,27.56494140625,27.39013671875,26.02001953125,26.7802734375,26.48974609375,26.125,25.7998046875
C14-S1,26.2451171875,26.009765625,25.7802734375,25.72509765625,26.125,26.0849609375,25.35986328125
C14-S2,25.8349609375,25.544921875,25.30029296875,25.25,25.64013671875,25.634765625,24.96484375
C18-S1,26.90966796875,26.4697265625,25.9951171875,25.865234375,26.205078125,26.06494140625,25.38525390625
C18-S4,26.8447265625,26.38525390625,25.80029296875,25.64990234375,25.98486328125,25.78466796875,25.19482421875
C19-S1,27.5146484375,27.21484375,26.36474609375,26.67529296875,26.71484375,26.47998046875,25.97509765625
C19-S2,27.1201171875,26.8701171875,25.990234375,26.294921875,26.294921875,26.06982421875,25.59521484375
C19-S3,27.02490234375,26.81005859375,25.93017578125,26.25,26.2099609375,26.02001953125,25.53515625
C19-S4,27.169921875,26.8701171875,26.00537109375,26.294921875,26.33984375,26.0849609375,25.61474609375
C19-S5,27.150390625,26.9150390625,25.9853515625,26.30517578125,26.3095703125,26,25.58984375
C19-S6,27.150390625,26.9150390625,25.9853515625,26.30517578125,26.3095703125,26,25.58984375
C2-S1,26.955078125,26.955078125,26.03515625,26.60498046875,26.2548828125,25.77490234375,25.26025390625
C2-S2,26.94482421875,26.94482421875,26.07470703125,26.60009765625,26.3046875,25.78515625,25.27490234375
C2-S3,26.75,26.77978515625,25.96484375,26.43017578125,26.205078125,25.669921875,25.16015625
C20-S1,26.5947265625,26.669921875,25.5546875,26.14013671875,25.77001953125,25.25,25.0400390625
C20-S2,26.43017578125,26.53515625,25.3896484375,26.01025390625,25.60986328125,25.1953125,24.8701171875
C20-S3,26.93505859375,26.919921875,25.8251953125,26.4345703125,26.04541015625,25.47509765625,25.3251953125
C20-S4,26.69482421875,26.705078125,25.599609375,26.2451171875,25.81982421875,25.30029296875,25.0751953125
C200-S1,25.89990234375,26.2451171875,24.97998046875,25.6201171875,25.1650390625,25.115234375,24.77978515625
C200-S2,25.89990234375,26.2451171875,24.97998046875,25.6201171875,25.1650390625,25.115234375,24.77978515625
C200-S3,25.82470703125,26.134765625,24.9296875,25.4453125,25.2197265625,24.9951171875,24.68994140625
C200-S4,25.82470703125,26.134765625,24.9296875,25.4453125,25.2197265625,24.9951171875,24.68994140625
C200-S5,25.73974609375,26.1201171875,24.85009765625,25.43994140625,25.0947265625,25.0048828125,24.64990234375
C201-S1,25.650390625,25.20458984375,25.00537109375,24.93505859375,25.3701171875,25.4453125,24.865234375
C201-S2,25.650390625,25.20458984375,25.00537109375,24.93505859375,25.3701171875,25.4453125,24.865234375
C202-S1,17.955078125,18.294921875,16.98974609375,17.7548828125,17.08544921875,17.5654296875,17.0498046875
C202-S2,18.43994140625,18.80517578125,17.44970703125,18.27001953125,17.66015625,18.03515625,17.56982421875
C203-S1,25.6298828125,25.47998046875,24.6103515625,25.22998046875,24.44482421875,24.669921875,24.259765625
C203-S2,25.6298828125,25.51025390625,24.5849609375,25.2353515625,24.4150390625,24.64501953125,24.294921875
C204-S1,26.26513671875,26.14501953125,25.73974609375,25.9951171875,25.82470703125,25.5947265625,24.9248046875
C204-S2,26.26513671875,26.14501953125,25.73974609375,25.9951171875,25.82470703125,25.5947265625,24.9248046875
C205-S1,19.89501953125,20.14501953125,18.9150390625,19.64501953125,19,19.349609375,18.93017578125
C205-S2,18.419921875,18.76025390625,17.44970703125,18.22021484375,17.6201171875,17.98486328125,17.51953125
C206-S1,21.125,20.98486328125,19.69970703125,20.8349609375,20.02001953125,20.169921875,19.89501953125
C206-S2,20.455078125,20.47998046875,19.1103515625,20.28515625,19.2451171875,19.5751953125,19.25
C207-S1,27.21533203125,26.8095703125,26.18017578125,26,26.39501953125,26.169921875,25.599609375
C207-S2,27.21533203125,26.8095703125,26.18017578125,26,26.39501953125,26.169921875,25.599609375
C208-S1,22.02001953125,22.31005859375,20.89990234375,21.33984375,20.705078125,21.02001953125,20.35009765625
C208-S2,22.02001953125,22.31005859375,20.89990234375,21.33984375,20.705078125,21.02001953125,20.35009765625
C209-S1,26.0546875,25.93017578125,25.45458984375,25.77978515625,25.67529296875,25.400390625,24.89501953125
C209-S2,25.90966796875,25.77978515625,25.2998046875,25.64990234375,25.56005859375,25.294921875,24.794921875
C21-S1,25.4951171875,25.400390625,24.1650390625,25.21484375,24.6298828125,24.7451171875,24.5302734375
C21-S2,25.7646484375,25.6650390625,24.46484375,25.4501953125,24.89013671875,24.97021484375,24.77001953125
C21-S3,25.7646484375,25.6650390625,24.46484375,25.4501953125,24.89013671875,24.97021484375,24.77001953125
C22-S1,27.18017578125,26.78515625,26.06494140625,25.92529296875,26.30517578125,25.9853515625,25.4599609375
