site_code,2015,2016,2017,2018,2019,2020,2021
C1-S1,30.47998046875,30.4599609375,30.4951171875,30.3798828125,30.580078125,30.89013671875,30.65478515625
C1-S2,30.47998046875,30.4599609375,30.4951171875,30.3798828125,30.580078125,30.89013671875,30.65478515625
C1-S3,30.47998046875,30.4599609375,30.4951171875,30.3798828125,30.580078125,30.89013671875,30.65478515625
C1-S4,30.47998046875,30.4599609375,30.4951171875,30.3798828125,30.580078125,30.89013671875,30.65478515625
C1-S5,30.26025390625,30.33984375,30.3203125,30.19970703125,30.39013671875,30.68505859375,30.47021484375
C10-S1,32.0849609375,32.099609375,31.64990234375,31.80517578125,31.84521484375,31.14013671875,30.64501953125
C10-S2,32.0849609375,32.099609375,31.64990234375,31.80517578125,31.84521484375,31.14013671875,30.64501953125
C10-S3,31.9951171875,32.02490234375,31.5751953125,31.7451171875,31.75537109375,31,30.51025390625
C100-S1,20.77001953125,21.77490234375,19.77978515625,20.384765625,19.740234375,20.125,20.2548828125
C100-S2,19.77490234375,20.7001953125,18.8349609375,19.28955078125,18.794921875,19.1103515625,19.2001953125
C100-S3,19.77490234375,20.7001953125,18.8349609375,19.28955078125,18.794921875,19.1103515625,19.2001953125
C105-S1,29.830078125,30.240234375,28.39013671875,28.44970703125,29.330078125,30.15966796875,29.1904296875
C108-S1,31.77001953125,31.21533203125,31.24462890625,31.43017578125,31.57470703125,31.46484375,30.4697265625
C108-S2,31.64013671875,31.1298828125,31.169921875,31.3701171875,31.47509765625,31.35498046875,30.40966796875
C108-S3,31.78955078125,31.17529296875,31.205078125,31.3447265625,31.56982421875,31.47998046875,30.44970703125
C108-S4,31.78955078125,31.17529296875,31.205078125,31.3447265625,31.56982421875,31.47998046875,30.44970703125
C108-S6,31.77978515625,31.28955078125,31.36474609375,31.53515625,31.625,31.509765625,30.56005859375
C108-S7,31.64013671875,31.1298828125,31.169921875,31.3701171875,31.47509765625,31.35498046875,30.40966796875
C12-S2,32.22998046875,31.9599609375,31.63525390625,31.81005859375,31.89990234375,31.57958984375,30.669921875
C12-S3,32.009765625,31.7998046875,31.4501953125,31.7548828125,31.77978515625,31.4453125,30.41015625
C12-S4,32.009765625,31.7998046875,31.4501953125,31.7548828125,31.77978515625,31.4453125,30.41015625
C12-S5,32.125,31.96044921875,31.56494140625,31.85986328125,31.89990234375,31.525390625,30.5
C12-S6,32.2451171875,32.16015625,31.7001953125,32.02490234375,32.05029296875,31.625,30.5751953125
C13-S1,33.73974609375,33.1650390625,31.52001953125,32.2998046875,32.51513671875,31.14013671875,30.919921875
C13-S2,33.73486328125,33.134765625,31.47509765625,32.27490234375,32.4599609375,31.11962890625,30.8798828125
C13-S3,33.73486328125,33.134765625,31.47509765625,32.27490234375,32.4599609375,31.11962890625,30.8798828125
C13-S4,33.78466796875,33.2001953125,31.47509765625,32.47509765625,32.634765625,31.27001953125,31.0546875
C14-S1,30.8046875,30.8896484375,30.38525390625,30.17041015625,31.01513671875,30.7001953125,29.93994140625
C14-S2,31.15478515625,31.1748046875,30.6103515625,30.43017578125,31.2900390625,31.02490234375,30.30517578125
C18-S1,32.14501953125,31.6796875,31.044921875,31.02490234375,31.61474609375,30.80517578125,30.115234375
C18-S4,32.35986328125,31.83984375,31.10498046875,30.98974609375,31.6953125,30.740234375,30.15478515625
C19-S1,32.14013671875,31.8046875,30.64013671875,31.11474609375,31.25,30.43505859375,30.02978515625
C19-S2,32.63525390625,32.3046875,31.09033203125,31.68505859375,31.5595703125,30.9951171875,30.6103515625
C19-S3,32.48974609375,32.18017578125,30.955078125,31.6953125,31.30517578125,31,30.599609375
C19-S4,32.650390625,32.294921875,31.10498046875,31.55517578125,31.705078125,30.8701171875,30.47998046875
